Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
95,34-U375BD,439.375000,-,7.600000,Cross,71.9,67.0,023,NN,NFM,5.00,,,,,,
96,34-U375KD,439.375000,-,7.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
97,34-U400,439.400000,-,7.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
98,35-V675,145.675000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
99,35-U175,439.175000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,35-U200,439.200000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
101,35-U225,439.225000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
102,35-U225,439.225000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
103,35-U250,439.250000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
104,35-U275,439.275000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,35-U375,439.375000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
106,35-U400,439.400000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
107,35-U425,439.425000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
108,38-V625,145.625000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
109,38-V700,145.700000,-,0.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
110,38-U400,439.400000,-,7.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
111,39-U225,439.225000,-,7.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
112,41-V6125,145.612500,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
113,41-V725,145.725000,-,0.600000,Tone,71.9,71.9,023,NN,NFM,5.00,,,,,,
114,41-V725,145.725000,-,0.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
115,41-U1875,439.187500,-,7.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
116,41-U200,439.200000,-,7.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
117,41-U275,439.275000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
118,41-U375,439.375000,-,7.600000,TSQL,94.8,94.8,023,NN,NFM,5.00,,,,,,
119,42-V625,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
120,42-V700,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
121,42-V725,145.725000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
122,42-U275,439.275000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
123,43-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
124,43-V775,145.775000,-,0.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
125,43-U250,439.250000,-,7.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
126,45-V600,145.600000,-,0.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
127,45-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
128,45-U175,439.175000,-,7.600000,,77.0,77.0,023,NN,NFM,5.00,,,,,,
129,45-U300,439.300000,-,7.600000,Tone,110.9,110.9,023,NN,NFM,5.00,,,,,,
130,45-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
131,45-U4125,439.412500,-,7.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
132,48-V600,145.600000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
133,48-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
134,48-V725,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
135,48-U175,439.175000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
136,48-U175,439.175000,-,7.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
137,48-U375,439.375000,-,7.600000,Tone,123.0,123.0,023,NN,NFM,5.00,,,,,,
138,48-U375,439.375000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
139,50-V600,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
140,50-U175,439.175000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
141,52-V700,145.700000,-,0.600000,Tone,85.4,85.4,023,NN,NFM,5.00,,,,,,
142,54-V600,145.600000,-,0.600000,TSQL,82.5,82.5,023,NN,NFM,5.00,,,,,,
143,54-V700,145.700000,-,0.600000,TSQL,123.0,123.0,023,NN,NFM,5.00,,,,,,
144,54-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
145,54-U150,439.150000,-,7.600000,TSQL,110.9,110.9,023,NN,NFM,5.00,,,,,,
146,54-U200,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
147,54-U225,439.225000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
148,54-U250,439.250000,-,7.600000,TSQL,110.9,110.9,023,NN,NFM,5.00,,,,,,
149,54-U375,439.375000,-,7.600000,TSQL,123.0,123.0,023,NN,NFM,5.00,,,,,,
150,55-V675,145.675000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
151,55-V725,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
152,55-U200,439.200000,-,7.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
153,55-U275,439.275000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
